ID,label
1453,4
655,4
1178,1
548,1
1547,2
1712,1
1685,0
1095,1
138,4
754,1
1048,2
1851,4
765,2
234,1
1192,1
337,1
1360,4
955,1
704,1
1956,1
1872,1
1704,4
2008,1
1476,1
1878,0
756,2
651,1
1354,1
596,1
7,1
341,1
85,3
977,4
1837,2
184,1
2160,0
1377,2
1637,3
811,3
1624,1
203,1
112,4
1307,2
928,4
706,1
683,2
1401,2
976,1
1294,0
465,1
1198,1
943,4
1390,1
1523,2
1997,1
1045,1
131,4
1839,2
1763,2
187,1
1313,1
1696,4
979,4
789,1
939,2
1278,0
1874,1
466,0
1382,1
2118,2
22,4
1323,1
840,4
1469,1
296,4
1912,1
1470,4
1089,1
899,1
1205,2
975,4
763,2
2148,1
1568,4
1413,4
405,4
1012,1
263,1
1780,2
625,4
910,1
1006,1
152,1
1831,2
424,2
2178,2
1518,1
1571,1
1522,2
2025,4
1749,1
1865,1
1328,4
1231,2
2244,1
1258,2
649,2
76,1
718,1
866,1
110,1
192,1
343,1
961,2
1166,1
923,2
1482,2
2051,2
1097,2
697,1
2137,2
1029,2
1969,2
1855,2
1790,2
1305,1
1436,1
554,1
784,4
1824,1
486,1
2054,1
1765,2
111,4
1113,2
659,1
522,1
1191,1
2174,2
83,1
820,2
1730,1
93,4
530,0
1264,2
9,1
1801,4
133,2
2207,2
2107,2
165,1
906,3
1387,4
415,1
2114,1
1220,4
1991,1
328,4
1953,3
729,4
2080,1
1269,1
1954,1
1601,2
983,1
2071,4
2090,4
1067,1
1190,4
171,2
1493,2
1441,1
1091,2
50,2
1785,4
1416,4
1356,3
518,2
978,0
397,4
441,2
1333,1
1549,2
1055,2
1165,1
964,2
1829,4
990,1
1980,2
577,4
425,4
1509,2
228,1
1728,1
665,4
1176,4
1840,1
382,1
1289,1
941,1
452,2
1168,1
2203,2
139,2
81,1
717,2
1807,1
812,3
448,1
1466,1
722,2
307,2
693,2
14,2
2125,2
1922,0
44,2
950,2
924,4
470,4
1746,1
493,1
2217,2
1733,2
500,1
157,4
1802,2
620,4
1844,1
388,1
461,2
590,2
1782,1
796,1
609,1
136,2
1079,1
1334,4
445,1
800,1
1970,1
865,1
1281,2
1324,2
568,1
1856,1
826,1
407,2
1825,4
193,2
674,2
1722,1
2205,4
21,2
1602,1
255,1
1963,4
2000,1
1635,1
1243,2
1585,4
230,1
113,1
2101,1
1798,4
1061,2
287,1
242,2
1170,2
252,1
926,1
457,4
868,2
290,2
698,1
1158,1
1935,1
725,1
992,4
1260,4
985,1
1702,2
2141,2
297,1
1455,4
1587,1
31,2
1672,1
618,1
1842,1
1457,1
636,1
1989,1
1203,1
2180,1
1137,3
1403,2
606,1
1451,2
43,1
2204,1
531,0
41,2
320,1
845,4
1025,1
2106,1
2145,1
105,4
1052,0
856,1
616,4
1359,2
99,1
1297,2
494,2
1077,1
757,1
1299,1
144,1
1682,4
223,1
1661,1
59,1
1348,3
79,1
1830,2
1695,0
125,2
1418,2
78,2
102,4
1890,1
1157,1
1314,1
151,1
11,2
515,1
1075,4
1708,1
1038,1
1791,2
1521,4
159,2
286,4
712,1
541,2
937,2
2212,2
2001,1
963,4
1630,1
369,4
1372,2
1939,1
2026,2
1942,1
512,2
2183,1
896,0
1692,4
1822,4
779,1
589,2
2152,2
1542,1
2060,2
662,1
764,2
256,4
876,1
1947,4
660,4
1680,1
1462,4
1123,1
1011,1
613,2
1251,4
936,1
1581,2
130,0
2169,1
1486,2
1487,2
1899,4
1959,2
1814,2
162,1
848,1
528,1
2040,1
1173,1
20,1
288,1
1905,4
1057,1
1316,2
1888,4
186,1
2149,1
1450,4
1962,1
1582,1
1821,1
995,2
1770,1
1908,1
277,4
2108,1
1365,2
1853,1
1667,2
1364,1
1701,2
278,2
1575,2
2021,1
1024,4
1978,4
1065,1
1498,2
1596,0
1431,2
56,2
62,4
884,1
495,4
2096,4
1485,4
1633,2
657,4
607,2
1207,4
2147,1
748,4
1543,2
2007,1
1889,1
549,1
1187,1
2039,2
272,1
2171,4
807,1
1753,2
1072,1
1250,3
1664,4
